part_number,manufacturer,condition,price,quantity,status,description
EC27250_RPLU-R_008,Dell,NEW,1274.5,2,ON-SITE,DELL EC27250 Intel Core 7 150U 68.6 cm (27 ) 1920 x 1080 pixels Touchscreen All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD Windows 11 Pro Wi-Fi 6E (802.11ax) Pearl White
EC27250_RPLU-R_003,Dell,NEW,1340.93,1,ON-SITE,DELL EC27250 Intel Core 7 150U 68.6 cm (27 ) 1920 x 1080 pixels Touchscreen All-in-One PC 16 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce MX570A Windows 11 Pro Wi-Fi 6E (802.11ax) Pearl White
13AM0004PB,Lenovo,NEW,1540.23,1,ON-SITE,Lenovo ThinkCentre M90a Pro Gen 6 Intel Core Ultra 5 225 68.6 cm (27 ) 2560 x 1440 pixels All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6E (802.11ax) Black
B6ZC2ET,Hewlett-Packard,NEW,883.7,1,ON-SITE,HP ProOne 440 G9 All-in-One PC Intel® Core™ i5 60.5 cm (23.8 ) 1920 × 1080 px 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6E (802.11ax)
12SB001PPB,Lenovo,NEW,955.57,1,ON-SITE,Lenovo ThinkCentre neo 50a 27 Gen 5 Intel® Core™ i5 i5-13420H 68.6 cm (27 ) 1920 x 1080 pixels Touchscreen All-in-One PC 16 GB DDR5-SDRAM 512 GB SSD Windows 11 Pro Wi-Fi 6 (802.11ax) Grey
F0HX001VPB,Lenovo,NEW,1252.14,1,ON-SITE,Lenovo Yoga AIO 32ILL10 Ultra 7 256V 31.5 UHD IPS 495 nits 16GB LPDDR5X-8533 1TB SSD Intel Arc Graphics 140V 5.0MP camera + IR Windows 11 Pro Storm Grey
90YJ002JPL,Lenovo,NEW,1844.3,21,ON-SITE,Lenovo Legion T5 30AGB10 AMD Ryzen™ 7 7700X 32 GB DDR5-SDRAM 2 TB SSD NVIDIA GeForce RTX 5060 Ti Windows 11 Home Tower PC Black
MPG Infinite Z3 X3D 9NVVR7-685E,MSI,NEW,3445.54,13,ON-SITE,MSI MPG Infinite Z3 X3D 9NVVR7-685EU AMD Ryzen™ 7 9800X3D 32 GB DDR5-SDRAM 2 TB SSD NVIDIA GeForce RTX 5080 Windows 11 Home Desktop PC Black
MPG Infinite Z3 X3D 7NVRR7-875E,MSI,NEW,2499.53,13,ON-SITE,MSI MPG Infinite Z3 X3D 7NVRR7-875EU AMD Ryzen™ 7 7800X3D 32 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5070 Windows 11 Home Desktop PC Black
90YE0019PL,Lenovo,NEW,2064.33,11,ON-SITE,Lenovo Legion T5 30IAX10 Intel Core Ultra 7 255HX 32 GB DDR5-SDRAM 2 TB SSD NVIDIA GeForce RTX 5070 Windows 11 Home Tower PC Black
90YA006BPL,Lenovo,NEW,1477.4,11,ON-SITE,Lenovo Legion T5 30IAS10 Ultra 5 225 32GB DDR5 5600 SSD1TB GeForce RTX 5060 Ti 8GB 500W Win11 Eclipse Black
MPG Trident AS AI 2NVL5-064EU,MSI,NEW,1295.63,10,ON-SITE,MSI MPG Trident AS AI 2NVL5-040FR Intel Core Ultra 5 225F 16 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5060 Windows 11 Home Desktop PC Black
MPG Trident AS AI 2NVM5-074EU,MSI,NEW,1459.71,10,ON-SITE,MSI MPG Trident AS AI 2NVM5-074EU Intel Core Ultra 5 225F 16 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5060 Ti Windows 11 Home Desktop PC Black
MPG Trident AS AI 2NVP7-070EU,MSI,NEW,2120.24,10,ON-SITE,MSI MPG Trident AS AI 2NVP7-070EU Intel Core Ultra 7 265F 32 GB DDR5-SDRAM 1 TB SSD NVIDIA GeForce RTX 5070 Windows 11 Home Desktop PC Black
